urls,titles,channels,views
https://i.ytimg.com/vi/YOHpmBsDceU/default.jpg,"Shakira: Bzrp Music Sessions, Vol. 53 | The Tonight Show Starring Jimmy Fallon",The Tonight Show Starring Jimmy Fallon,5910978
https://i.ytimg.com/vi/_EsFyogVvkw/default.jpg,The History of Super Mario Bros 3 100% World Records,Summoning Salt,543015
https://i.ytimg.com/vi/cG22jPC9J_0/default.jpg,I Survived the World's Loneliest Job,Ryan Trahan,2294939
https://i.ytimg.com/vi/VKuptGDuFxk/default.jpg,Black Belt in 24 Hour Challenge! Surprise Ending! Daughters vs Dads,The Ninja Fam!,932916
https://i.ytimg.com/vi/jyBMcHzHz04/default.jpg,Stranded 100 Hours in a Survival Bunker,JStu,716490
https://i.ytimg.com/vi/_aqJB9t4VeE/default.jpg,I Spent 24 Hours in Elon Musk’s House,Unspeakable,833399
https://i.ytimg.com/vi/R-1VUpreNlM/default.jpg,Slide 2 Dollar Store baskets on a paper towel holder (BRILLIANT!),Hometalk,367608
https://i.ytimg.com/vi/s50Jiis5LxQ/default.jpg,Nick Eh 30 reacts to Fortnite Season 2!,Nick Eh 30,517748
https://i.ytimg.com/vi/f4EXpaZYzt8/default.jpg,$2 Beef Patty Vs. $689 Lobster Tower w/ Simu Liu,About To Eat,631056
https://i.ytimg.com/vi/S4fe-YEqAf4/default.jpg,"I Travelled 120,000,000 Blocks in Minecraft Hardcore!",LockDownLife,467720
https://i.ytimg.com/vi/bIhY37I3VAc/default.jpg,Destiny 2: ROOT OF NIGHTMARES RAID FOR DUMMIES! - Complete Raid Guide & Walkthrough!,KackisHD,467730
https://i.ytimg.com/vi/MaJEUOI3KlY/default.jpg,"15-Year-Old Ryley Tate Wilson Stuns Coaches with ""Dancing On My Own"" | The Voice Blind Auditions",The Voice,1523214
https://i.ytimg.com/vi/9coyY-SPIXU/default.jpg,Meghan Trainor - Mother (Official Music Video),MeghanTrainorVEVO,2038370
https://i.ytimg.com/vi/mASphq1Skhk/default.jpg,First to Catch the Random Pokémon Wins,MandJTV Plays,354786
https://i.ytimg.com/vi/wb5TSLzOyrQ/default.jpg,Can I continue YouTube during Cancer Treatment?,Chad Wild Clay,761857
